Date: 04/18, Price: 1.0000
Date: 04/19, Price: 5.4400
Date: 04/20, Price: 5.6900
Date: 04/21, Price: 5.7900
Date: 04/22, Price: 5.8400
Date: 04/23, Price: 5.8800
Date: 04/24, Price: 5.9200
Date: 04/25, Price: 5.9500
Date: 04/26, Price: 5.9800
Date: 04/27, Price: 6.0000
Date: 04/28, Price: 6.0300
Date: 04/29, Price: 6.0500
Date: 04/30, Price: 6.0600
Date: 05/01, Price: 6.0800
Date: 05/02, Price: 6.1000
Date: 05/03, Price: 6.1100
Date: 05/04, Price: 6.1300
Date: 05/05, Price: 6.1400
Date: 05/06, Price: 6.1500
Date: 05/07, Price: 6.1600
Date: 05/08, Price: 6.1700
Date: 05/09, Price: 6.1800
Date: 05/10, Price: 6.1900
Date: 05/11, Price: 6.2000
Date: 05/12, Price: 6.2100
Date: 05/13, Price: 6.2200
Date: 05/14, Price: 6.2300
Date: 05/15, Price: 6.2300
Date: 05/16, Price: 6.2400
